,Favs,RTs,Followers,Following,Listed,likes,tweets,Word Count,Tweet Id,User Name,result
1085,0.0,5.0,254.0,214.0,7.0,987.0,90145.0,11.0,8.803946909309338e+17,うらごん@西のターン！ 西タ04a,-15608.592666859588
1086,0.0,0.0,8756.0,9443.0,208.0,10788.0,194875.0,18.0,1.0398786650547036e+18,NJEstates4 REALTOR,-37048.030818469706
1087,5.0,1.0,61205.0,465.0,1454.0,1187.0,94587.0,10.0,1.0367508270069064e+18,NAEYC,-28002.216024127174
1088,0.0,0.0,34.0,186.0,0.0,639.0,64991.0,34.0,1.0399275829286461e+18,charlie🌹,-11193.970915180891
1089,0.0,0.0,328.0,240.0,22.0,5994.0,145214.0,26.0,1.0373093746189024e+18,Penn State CTSI,-26741.84897077742
1090,0.0,0.0,1209.0,1.0,219.0,1521.0,99145.0,17.0,1.0372698877966991e+18,NewsBoss.in,-17488.646157896874
1091,0.0,0.0,436.0,208.0,14.0,6651.0,147852.0,10.0,8.804125462594643e+17,銀嶺,-27454.585526840398
1092,0.0,0.0,352.0,7.0,26.0,348.0,8895.0,9.0,1.038960894716203e+18,Computer Science,-1690.9019175359224
1093,6.0,4.0,5356.0,190.0,585.0,669.0,66854.0,17.0,1.0352827238191882e+18,LJ's infoDOCKET,-12411.25716750886
1094,1.0,3.0,264.0,468.0,22.0,1425.0,54822.0,14.0,8.87e+17,Xtreme Emergency TRG,-9756.197005879798
1095,0.0,0.0,1829.0,1052.0,548.0,415.0,96325.0,22.0,1.0395093652193567e+18,juan alonso,-16480.849605348212
1096,0.0,15.0,260.0,293.0,46.0,919.0,88958.0,12.0,8.721665007774597e+17,Michael Collins,-15362.319120552595
1097,9.0,350.0,5984.0,2548.0,192.0,1229.0,96147.0,12.0,9.14e+17,????? ???????,-17442.452730462326
1098,1.0,0.0,2851.0,52.0,60.0,303.0,65218.0,14.0,1.0371193710748547e+18,Convos With Tyler,-11669.217835208829
1099,1.0,0.0,9513.0,5297.0,256.0,889.0,88457.0,12.0,1.0386533244578611e+18,Tri-Learning,-16249.02834387736
1100,0.0,51424.0,257.0,405.0,1.0,127.0,9054.0,1.0,1.0370240042494607e+18,Erin🥑,-4240.953580346012
1101,0.0,5.0,4933.0,596.0,330.0,665.0,2415.0,19.0,1.0368826707295272e+18,Michael Kerres,-1440.2330054495164
1102,1.0,354.0,10114.0,2837.0,61.0,2113.0,112351.0,17.0,9.14e+17,Radio magazine,-21304.900991803654
1103,0.0,2.0,20129.0,579.0,163.0,3771.0,125698.0,17.0,1.037262730602922e+18,Bar Standards Board,-26441.308426737196
1104,0.0,0.0,10990.0,2038.0,607.0,325.0,21542.0,12.0,8.707621725441024e+17,Foundation Center NY,-5442.009297609488
1105,0.0,0.0,22380.0,20787.0,222.0,487.0,35714.0,18.0,1.0399090447088147e+18,Ashworth College,-7309.286402971261
1106,0.0,0.0,955.0,570.0,53.0,2113.0,112351.0,17.0,8.804699667760947e+17,Open Praxis,-19840.738348801635
1107,2.0,1.0,419.0,130.0,7.0,2110.0,112351.0,23.0,1.0372516218797998e+18,Kleyne Sint Jacob,-19815.2169544247
1108,0.0,0.0,1106.0,1182.0,153.0,10788.0,194875.0,33.0,1.0351822470187457e+18,Gutenberg Technology,-36848.5223619332
1109,8.0,568.0,2165.0,9410.0,192.0,4418.0,126978.0,12.0,7.26e+17,BBC Mundo,-21999.74903429483
1110,0.0,1.0,416.0,909.0,26.0,24.0,124578.0,39.0,1.0391843061896192e+18,Web24,-20996.46491962611
1111,2.0,373.0,23452.0,5548.0,67.0,2733.0,54822.0,16.0,9.14e+17,loveloveiphone,-14007.57870726868
1112,0.0,0.0,461.0,301.0,111.0,32.0,748.0,16.0,1.0398998115189842e+18,TMJ-PDX Retail Jobs,-152.27986175200124
1113,3.0,0.0,22650.0,204.0,482.0,733.0,84522.0,15.0,1.037203743849308e+18,AAIHS,-18848.181196947353
1114,0.0,2.0,2953.0,571.0,89.0,1533.0,99145.0,42.0,1.0399154403010642e+18,College of SocSci,-17781.983299616695
1115,0.0,0.0,144.0,27.0,0.0,962.0,90014.0,20.0,1.0395644980074783e+18,Nastyman Kennel,-15586.677844718655
1116,0.0,1.0,27144.0,620.0,497.0,698.0,84522.0,2.0,1.0370778569024143e+18,Change Healthcare,-19650.638113236284
1117,3.0,1.0,1033.0,296.0,32.0,853.0,87499.0,21.0,1.0341632161154908e+18,Sean Latham,-15246.428518598963
1118,0.0,180.0,193.0,181.0,6.0,1867.0,112351.0,13.0,1.03967382840465e+18,Zone-Tsuyoshi(MS),-19683.93765055912
1119,0.0,5.0,223.0,191.0,16.0,9087.0,125486.0,17.0,8.790011138856878e+17,Dr. Renee Blumstein,-24520.51883322348
1120,0.0,0.0,0.0,0.0,0.0,5747.0,136652.0,17.0,1.0399236294991421e+18,Twin zahhak,-25183.695281239598
1121,0.0,0.0,169.0,760.0,4.0,1268.0,22451.0,27.0,1.0372957954799985e+18,Anna Gallo,-4168.744765614544
1122,1.0,365.0,11291.0,1647.0,61.0,1867.0,112351.0,19.0,7.26e+17,TechnoBuffalo,-21633.641555672068
1123,0.0,27.0,368.0,242.0,8.0,190.0,13520.0,15.0,1.0399231160619377e+18,ya girl,-2387.8214870232177
1124,0.0,0.0,26075.0,11136.0,167.0,919.0,88958.0,25.0,1.037236261747155e+18,Signals.me,-18714.679869227977
1125,0.0,50.0,76.0,132.0,0.0,11869.0,199856.0,21.0,1.0399209845208307e+18,emma,-38087.54505419949
1126,0.0,180.0,406.0,392.0,19.0,1475.0,99145.0,13.0,1.0389820440202362e+18,Hiroshi Fujisaki,-17315.06911526431
